코드,CC코드,명,WI26_CD,WI26_CD
AAPL,AAPL-US,애플,WI610,IT하드웨어
INTC,INTC-US,인텔,WI620,반도체
AMD,AMD-US,AMD,WI620,반도체
NVDA,NVDA-US,엔비디아,WI620,반도체
AVGO,AVGO-US,브로드컴,WI620,반도체
TXN,TXN-US,텍사스인스트루먼트,WI620,반도체
QCOM,QCOM-US,퀄컴,WI620,반도체
MU,MU-US,마이크론테크놀로지,WI620,반도체
TSM,TSM-US,TSMC,WI620,반도체
AMAT,AMAT-US,어플라이드머티리얼즈,WI620,반도체
ASML,ASML-US,ASML,WI620,반도체
LRCX,LRCX-US,램리서치,WI620,반도체
KLAC,KLAC-US,KLA,WI620,반도체
CSCO,CSCO-US,시스코,WI610,IT하드웨어
MSFT,MSFT-US,마이크로소프트,WI600,소프트웨어
ADBE,ADBE-US,어도비,WI600,소프트웨어
ORCL,ORCL-US,오라클,WI600,소프트웨어
CRM,CRM-US,세일즈포스닷컴,WI600,소프트웨어
SAP,SAP-US,SAP,WI600,소프트웨어
IBM,IBM-US,IBM,WI600,소프트웨어
INTU,INTU-US,인튜이트,WI600,소프트웨어
NOW,NOW-US,서비스나우,WI600,소프트웨어
UBER,UBER-US,우버,WI600,소프트웨어
ZM,ZM-US,줌비디오,WI600,소프트웨어
SPOT,SPOT-US,스포티파이,WI600,소프트웨어
GOOGL,GOOGL-US,알파벳A,WI600,소프트웨어
AMZN,AMZN-US,아마존,WI340,소매(유통)
BABA,BABA-US,알리바바,WI340,소매(유통)
PDD,PDD-US,핀듀오듀오,WI340,소매(유통)
JD,JD-US,JD닷컴,WI340,소매(유통)
EBAY,EBAY-US,이베이,WI340,소매(유통)
CPNG,CPNG-US,쿠팡,WI340,소매(유통)
PYPL,PYPL-US,페이팔,WI600,소프트웨어
SHOP,SHOP-US,쇼피파이,WI340,소매(유통)
SQ,SQ-US,블록,WI250,상사자본재
FISV,FISV-US,파이서브,WI250,상사자본재
GPN,GPN-US,글로벌페이먼츠,WI250,상사자본재
COIN,COIN-US,코인베이스,WI600,소프트웨어
META,META-US,메타,WI600,소프트웨어
ATVI,ATVI-US,액티비전블리자드,WI600,소프트웨어
EA,EA-US,엘릭트로닉아츠,WI600,소프트웨어
RBLX,RBLX-US,로블록스,WI600,소프트웨어
DIS,DIS-US,월트디즈니,WI330,미디어교육
CMCSA,CMCSA-US,컴캐스트,WI330,미디어교육
NFLX,NFLX-US,넷플릭스,WI600,소프트웨어
VZ,VZ-US,버라이즌,WI700,통신서비스
T,T-US,AT&T,WI700,통신서비스
JNJ,JNJ-US,존슨&존슨,WI410,건강관리
PFE,PFE-US,화이자,WI410,건강관리
NVS,NVS-US,노바티스,WI410,건강관리
MRK,MRK-US,머크,WI410,건강관리
LLY,LLY-US,일라이릴리,WI410,건강관리
BMY,BMY-US,브리스톨-마이어스스큅,WI410,건강관리
AZN,AZN-US,아스트라제네카,WI410,건강관리
GSK,GSK-US,글락소스미스클라인,WI410,건강관리
GILD,GILD-US,길리어드사이언스,WI410,건강관리
MRNA,MRNA-US,모더나,WI410,건강관리
ABBV,ABBV-US,애브비,WI410,건강관리
AMGN,AMGN-US,암젠,WI410,건강관리
BIIB,BIIB-US,바이오젠,WI410,건강관리
ABT,ABT-US,애보트래버러토리,WI410,건강관리
TMO,TMO-US,써모피셔사이언티픽,WI410,건강관리
MDT,MDT-US,메드트로닉,WI410,건강관리
DHR,DHR-US,다나허,WI410,건강관리
ISRG,ISRG-US,인튜이티브서지컬,WI410,건강관리
UNH,UNH-US,유나이티드헬스,WI410,건강관리
CVS,CVS-US,CVS헬스,WI410,건강관리
WBA,WBA-US,윌그린부츠,WI400,필수소비재
JPM,JPM-US,JP모건체이스,WI500,은행
BAC,BAC-US,뱅크오브아메리카,WI500,은행
C,C-US,씨티그룹,WI510,증권
WFC,WFC-US,웰스파고,WI500,은행
MS,MS-US,모건스탠리,WI510,증권
GS,GS-US,골드만삭스,WI510,증권
V,V-US,비자,WI600,소프트웨어
MA,MA-US,마스터카드,WI600,소프트웨어
AXP,AXP-US,아메리칸익스프레스,WI500,은행
MET,MET-US,메트라이프,WI520,보험
TRV,TRV-US,트래블러스,WI520,보험
BRK-A,BRK-A-US,버크셔헤서웨이-A,0,0
BLK,BLK-US,블랙록,WI510,증권
ACN,ACN-US,액센추어,WI600,소프트웨어
SPGI,SPGI-US,S&P글로벌,WI250,상사자본재
KO,KO-US,코카-콜라,WI400,필수소비재
PEP,PEP-US,펩시코,WI400,필수소비재
MCD,MCD-US,맥도날드,WI320,호텔레저서비스
SBUX,SBUX-US,스타벅스,WI320,호텔레저서비스
MDLZ,MDLZ-US,몬델레즈인터내셔널,WI400,필수소비재
BUD,BUD-US,안호이저부시인뵈브,WI400,필수소비재
DEO,DEO-US,디아지오,WI400,필수소비재
PM,PM-US,필립모리스,WI400,필수소비재
BTI,BTI-US,브리티쉬아메리칸토바코,WI400,필수소비재
BYND,BYND-US,비욘드미트,WI400,필수소비재
PG,PG-US,P&G,WI400,필수소비재
UL,UL-US,유니레버,WI400,필수소비재
CL,CL-US,콜게이트-팜올리브,WI400,필수소비재
NKE,NKE-US,나이키,WI310,화장품의류완구
LULU,LULU-US,룰루레몬,WI310,화장품의류완구
EL,EL-US,에스티로더,WI400,필수소비재
WMT,WMT-US,월마트,WI400,필수소비재
HD,HD-US,홈데포,WI340,소매(유통)
COST,COST-US,코스트코홀세일,WI340,소매(유통)
LOW,LOW-US,로우스,WI340,소매(유통)
TGT,TGT-US,타깃,WI340,소매(유통)
TJX,TJX-US,TJX,WI340,소매(유통)
UNP,UNP-US,유니온퍼시픽,WI260,운송
UPS,UPS-US,UPS,WI260,운송
FDX,FDX-US,페덱스,WI260,운송
DAL,DAL-US,델타항공,WI260,운송
LUV,LUV-US,사우스웨스트항공,WI260,운송
ABNB,ABNB-US,에어비앤비,WI600,소프트웨어
BKNG,BKNG-US,부킹홀딩스,WI320,호텔레저서비스
LVS,LVS-US,라스베가스샌즈,WI320,호텔레저서비스
GM,GM-US,GM,WI300,자동차
F,F-US,포드,WI300,자동차
TSLA,TSLA-US,테슬라,WI300,자동차
RIVN,RIVN-US,리비안,WI300,자동차
LCID,LCID-US,루시드그룹,WI300,자동차
NKLA,NKLA-US,니콜라,WI300,자동차
BLDP,BLDP-US,발라드파워시스템즈,WI100,에너지
FCEL,FCEL-US,퓨얼셀에너지,WI100,에너지
NEE,NEE-US,넥스트에라에너지,WI800,유틸리티
SEDG,SEDG-US,솔라엣지,WI100,에너지
DUK,DUK-US,듀크에너지,WI800,유틸리티
D,D-US,도미니언에너지,WI800,유틸리티
XOM,XOM-US,엑슨모빌,WI100,에너지
CVX,CVX-US,셰브런,WI100,에너지
BP,BP-US,BP,WI100,에너지
LIN,LIN-US,린데,WI110,화학
DOW,DOW-US,다우,WI110,화학
HON,HON-US,허니웰인터내셔널,WI250,상사자본재
BA,BA-US,보잉,WI250,상사자본재
RTX,RTX-US,레이시온테크놀로지,WI250,상사자본재
LMT,LMT-US,록히드마틴,WI250,상사자본재
CAT,CAT-US,캐터필러,WI230,기계
DE,DE-US,디어,WI230,기계
MMM,MMM-US,3M,WI250,상사자본재
GE,GE-US,GE,WI250,상사자본재
SPCE,SPCE-US,버진갤럭틱,WI250,상사자본재
MAXR,MAXR-US,막사테크놀로지,WI250,상사자본재
BHP,BHP-US,BHP,WI200,비철목재등
RIO,RIO-US,리오틴토,WI200,비철목재등
VALE,VALE-US,발레,WI210,철강
NEM,NEM-US,뉴몬트,WI200,비철목재등
X,X-US,USSTEEL,WI210,철강
600519,600519-CN,Kweichow Moutai A,WI400,필수소비재
601857,601857-CN,PetroChina A,WI100,에너지
700,700-HK,Tencent Holdings,WI600,소프트웨어
9988,9988-HK,Alibaba Group Holding,WI340,소매(유통)
7203,7203-JP,Toyota Motor,WI300,자동차
6758,6758-JP,Sony Group,WI630,IT가전
2330,2330-TW,Taiwan Semiconductor Manufacturing,WI620,반도체
2317,2317-TW,Hon Hai Precision Industry,WI610,IT하드웨어
ASML,ASML-NL,ASML Holding,WI620,반도체
NESN,NESN-CH,Nestle,WI400,필수소비재
